"","rowname","value"
"10831","ErrorMessage","attempt to set an attribute on NULL"
"10832","ErrorType","error"
"10833","ErrorMessage","attempt to set an attribute on NULL"
"10834","ErrorType","error"
"10835","ErrorMessage","'...' used in an incorrect context"
"10836","ErrorType","error"
"10837","ErrorMessage","'...' used in an incorrect context"
"10838","ErrorType","error"
"10839","ErrorMessage","'...' used in an incorrect context"
"10840","ErrorType","error"
"10841","ErrorMessage","object not specified"
"10842","ErrorType","error"
"10843","ErrorMessage","object not specified"
"10844","ErrorType","error"
"10845","ErrorMessage","object not specified"
"10846","ErrorType","error"
"10847","ErrorMessage","Calling 'structure(NULL, *)' is deprecated, as NULL cannot have attributes.
  Consider 'structure(list(), *)' instead."
"10848","ErrorType","warning"
"10849","ErrorMessage","'...' used in an incorrect context"
"10850","ErrorType","error"
"10851","ErrorMessage","Calling 'structure(NULL, *)' is deprecated, as NULL cannot have attributes.
  Consider 'structure(list(), *)' instead."
"10852","ErrorType","warning"
"10853","ErrorMessage","Calling 'structure(NULL, *)' is deprecated, as NULL cannot have attributes.
  Consider 'structure(list(), *)' instead."
"10854","ErrorType","warning"
"10855","ErrorMessage","Calling 'structure(NULL, *)' is deprecated, as NULL cannot have attributes.
  Consider 'structure(list(), *)' instead."
"10856","ErrorType","warning"
"10857","ErrorMessage","Calling 'structure(NULL, *)' is deprecated, as NULL cannot have attributes.
  Consider 'structure(list(), *)' instead."
"10858","ErrorType","warning"
"10859","ErrorMessage","'...' used in an incorrect context"
"10860","ErrorType","error"
"10861","ErrorMessage","attempt to set an attribute on NULL"
"10862","ErrorType","error"
"10863","ErrorMessage","attempt to set an attribute on NULL"
"10864","ErrorType","error"
"10865","ErrorMessage","attempt to set an attribute on NULL"
"10866","ErrorType","error"
"10867","ErrorMessage","attempt to set an attribute on NULL"
"10868","ErrorType","error"
"10869","ErrorMessage","'...' used in an incorrect context"
"10870","ErrorType","error"
"10871","ErrorMessage","'...' used in an incorrect context"
"10872","ErrorType","error"
"10873","ErrorMessage","object not specified"
"10874","ErrorType","error"
"10875","ErrorMessage","object not specified"
"10876","ErrorType","error"
"10877","ErrorMessage","object not specified"
"10878","ErrorType","error"
"10879","ErrorMessage","Calling 'structure(NULL, *)' is deprecated, as NULL cannot have attributes.
  Consider 'structure(list(), *)' instead."
"10880","ErrorType","warning"
"10881","ErrorMessage","argument is missing, with no default"
"10882","ErrorType","error"
"10883","ErrorMessage","argument is missing, with no default"
"10884","ErrorType","error"
"10885","ErrorMessage","first argument must be a character string"
"10886","ErrorType","error"
"10887","ErrorMessage","first argument must be a character string"
"10888","ErrorType","error"
"10889","ErrorMessage","argument ""fun"" is missing, with no default"
"10890","ErrorType","error"
"10891","ErrorMessage","could not find function ""fun"""
"10892","ErrorType","error"
"10893","ErrorMessage","argument ""x"" is missing, with no default"
"10894","ErrorType","error"
"10897","ErrorMessage","argument ""x"" is missing, with no default"
"10898","ErrorType","error"
"10899","ErrorMessage","argument ""value"" is missing, with no default"
"10900","ErrorType","error"
"10901","ErrorMessage","argument ""value"" is missing, with no default"
"10902","ErrorType","error"
"10903","ErrorMessage","argument ""value"" is missing, with no default"
"10904","ErrorType","error"
"10905","ErrorMessage","argument ""x"" is missing, with no default"
"10906","ErrorType","error"
"10907","ErrorMessage","'x' must be an array of at least two dimensions"
"10908","ErrorType","error"
"10909","ErrorMessage","'x' must be an array of at least two dimensions"
"10910","ErrorType","error"
"10911","ErrorMessage","'x' must be an array of at least two dimensions"
"10912","ErrorType","error"
"10913","ErrorMessage","invalid 'na.rm' argument"
"10914","ErrorType","error"
"10915","ErrorMessage","'x' must be an array of at least two dimensions"
"10916","ErrorType","error"
"10919","ErrorMessage","the condition has length > 1"
"10920","ErrorType","error"
"10921","ErrorMessage","argument is not interpretable as logical"
"10922","ErrorType","error"
"10923","ErrorMessage","the condition has length > 1"
"10924","ErrorType","error"
"10925","ErrorMessage","unused argument (alist(object = ))"
"10926","ErrorType","error"
"10927","ErrorMessage","argument ""x"" is missing, with no default"
"10928","ErrorType","error"
"10929","ErrorMessage","unused argument (alist(object = ))"
"10930","ErrorType","error"
"10931","ErrorMessage","argument ""value"" is missing, with no default"
"10932","ErrorType","error"
"10933","ErrorMessage","argument ""value"" is missing, with no default"
"10934","ErrorType","error"
"10935","ErrorMessage","argument ""value"" is missing, with no default"
"10936","ErrorType","error"
"10937","ErrorMessage","unused argument (alist(imag = ))"
"10938","ErrorType","error"
"10939","ErrorMessage","unused argument (alist(imag = ))"
"10940","ErrorType","error"
"10941","ErrorMessage","unused argument (imag = x)"
"10942","ErrorType","error"
"10943","ErrorMessage","unused argument (imag = x)"
"10944","ErrorType","error"
"10945","ErrorMessage","unused argument (imag = x)"
"10946","ErrorType","error"
"10947","ErrorMessage","unused argument (imag = x)"
"10948","ErrorType","error"
"10949","ErrorMessage","unused argument (imag = x)"
"10950","ErrorType","error"
"10951","ErrorMessage","unused argument (imag = x)"
"10952","ErrorType","error"
"10953","ErrorMessage","unused argument (imag = x)"
"10954","ErrorType","error"
"10955","ErrorMessage","unused argument (imag = x)"
"10956","ErrorType","error"
"10957","ErrorMessage","unused argument (imag = df)"
"10958","ErrorType","error"
"10959","ErrorMessage","unused argument (imag = df)"
"10960","ErrorType","error"
"10961","ErrorMessage","unused argument (imag = df)"
"10962","ErrorType","error"
"10967","ErrorMessage","unused argument (alist(condition = ))"
"10968","ErrorType","error"
"10969","ErrorMessage","no applicable method for 'conditionCall' applied to an object of class ""c('double', 'numeric')"""
"10970","ErrorType","error"
"10971","ErrorMessage","no applicable method for 'conditionCall' applied to an object of class ""character"""
"10972","ErrorType","error"
"10973","ErrorMessage","no applicable method for 'conditionCall' applied to an object of class ""data.frame"""
"10974","ErrorType","error"
"10975","ErrorMessage","unused argument (alist(condition = ))"
"10976","ErrorType","error"
"10977","ErrorMessage","$ operator is invalid for atomic vectors"
"10978","ErrorType","error"
"10979","ErrorMessage","$ operator is invalid for atomic vectors"
"10980","ErrorType","error"
"10981","ErrorMessage","unused argument (alist(condition = ))"
"10982","ErrorType","error"
"10983","ErrorMessage","no applicable method for 'conditionMessage' applied to an object of class ""name"""
"10984","ErrorType","error"
"10985","ErrorMessage","no applicable method for 'conditionMessage' applied to an object of class ""c('double', 'numeric')"""
"10986","ErrorType","error"
"10987","ErrorMessage","no applicable method for 'conditionMessage' applied to an object of class ""character"""
"10988","ErrorType","error"
"10989","ErrorMessage","no applicable method for 'conditionMessage' applied to an object of class ""data.frame"""
"10990","ErrorType","error"
"10991","ErrorMessage","unused argument (alist(condition = ))"
"10992","ErrorType","error"
"10993","ErrorMessage","argument ""c"" is missing, with no default"
"10994","ErrorType","error"
"10995","ErrorMessage","$ operator is invalid for atomic vectors"
"10996","ErrorType","error"
"10997","ErrorMessage","$ operator is invalid for atomic vectors"
"10998","ErrorType","error"
"10999","ErrorMessage","argument ""pkg"" is missing, with no default"
"11000","ErrorType","error"
"11001","ErrorMessage","invalid first argument"
"11002","ErrorType","error"
"11003","ErrorMessage","invalid first argument"
"11004","ErrorType","error"
"11005","ErrorMessage","invalid first argument"
"11006","ErrorType","error"
"11007","ErrorMessage","invalid first argument"
"11008","ErrorType","error"
"11009","ErrorMessage","invalid first argument"
"11010","ErrorType","error"
"11011","ErrorMessage","invalid first argument"
"11012","ErrorType","error"
"11013","ErrorMessage","invalid first argument"
"11014","ErrorType","error"
"11036","ErrorMessage","unused arguments (alist(pkg = , mask.ok = , exclude = ))"
"11037","ErrorType","error"
"11102","ErrorMessage","unused arguments (alist(pkg = x, mask.ok = , exclude = ))"
"11103","ErrorType","error"
"11104","ErrorMessage","unused arguments (alist(pkg = x, mask.ok = x, exclude = ))"
"11105","ErrorType","error"
"11106","ErrorMessage","unused arguments (pkg = x, mask.ok = x, exclude = x)"
"11107","ErrorType","error"
"11108","ErrorMessage","unused arguments (pkg = x, mask.ok = x, exclude = df)"
"11109","ErrorType","error"
"11110","ErrorMessage","unused arguments (pkg = x, mask.ok = df, exclude = df)"
"11111","ErrorType","error"
"11112","ErrorMessage","unused arguments (pkg = x, mask.ok = ""df"", exclude = df)"
"11113","ErrorType","error"
"11114","ErrorMessage","unused arguments (pkg = df, mask.ok = ""df"", exclude = df)"
"11115","ErrorType","error"
"11116","ErrorMessage","argument ""x"" is missing, with no default"
"11117","ErrorType","error"
"11118","ErrorMessage","'x' must be a date-time object"
"11119","ErrorType","error"
"11120","ErrorMessage","'x' must be a date-time object"
"11121","ErrorType","error"
"11122","ErrorMessage","'x' must be a date-time object"
"11123","ErrorType","error"
"11124","ErrorMessage","'x' must be a date-time object"
"11125","ErrorType","error"
"11126","ErrorMessage","'x' must be a date-time object"
"11127","ErrorType","error"
"11128","ErrorMessage","'x' must be a date-time object"
"11129","ErrorType","error"
"11130","ErrorMessage","'x' must be a date-time object"
"11131","ErrorType","error"
"11132","ErrorMessage","'x' must be a date-time object"
"11133","ErrorType","error"
"11134","ErrorMessage","'x' must be a date-time object"
"11135","ErrorType","error"
"11136","ErrorMessage","'x' must be a date-time object"
"11137","ErrorType","error"
"11138","ErrorMessage","'x' must be a date-time object"
"11139","ErrorType","error"
"11140","ErrorMessage","'x' must be a date-time object"
"11141","ErrorType","error"
"11142","ErrorMessage","argument ""x"" is missing, with no default"
"11143","ErrorType","error"
"11144","ErrorMessage","argument ""breaks"" is missing, with no default"
"11145","ErrorType","error"
"11152","ErrorMessage","lengths of 'breaks' and 'labels' differ"
"11153","ErrorType","error"
"11154","ErrorMessage","lengths of 'breaks' and 'labels' differ"
"11155","ErrorType","error"
"11156","ErrorMessage","lengths of 'breaks' and 'labels' differ"
"11157","ErrorType","error"
"11158","ErrorMessage","lengths of 'breaks' and 'labels' differ"
"11159","ErrorType","error"
"11160","ErrorMessage","lengths of 'breaks' and 'labels' differ"
"11161","ErrorType","error"
"11162","ErrorMessage","lengths of 'breaks' and 'labels' differ"
"11163","ErrorType","error"
"11164","ErrorMessage","lengths of 'breaks' and 'labels' differ"
"11165","ErrorType","error"
"11166","ErrorMessage","lengths of 'breaks' and 'labels' differ"
"11167","ErrorType","error"
"11168","ErrorMessage","argument ""x"" is missing, with no default"
"11169","ErrorType","error"
"11170","ErrorMessage","argument ""x"" is missing, with no default"
"11171","ErrorType","error"
"11172","ErrorMessage","'x' must be a date-time object"
"11173","ErrorType","error"
"11174","ErrorMessage","'x' must be a date-time object"
"11175","ErrorType","error"
"11176","ErrorMessage","'x' must be a date-time object"
"11177","ErrorType","error"
"11178","ErrorMessage","'x' must be a date-time object"
"11179","ErrorType","error"
"11180","ErrorMessage","'x' must be a date-time object"
"11181","ErrorType","error"
"11182","ErrorMessage","'x' must be a date-time object"
"11183","ErrorType","error"
"11184","ErrorMessage","'x' must be a date-time object"
"11185","ErrorType","error"
"11186","ErrorMessage","'x' must be a date-time object"
"11187","ErrorType","error"
"11188","ErrorMessage","'x' must be a date-time object"
"11189","ErrorType","error"
"11190","ErrorMessage","argument ""x"" is missing, with no default"
"11191","ErrorType","error"
"11195","ErrorMessage","'...' used in an incorrect context"
"11196","ErrorType","error"
"11197","ErrorMessage","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"11198","ErrorType","warning"
"11199","ErrorMessage","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"11200","ErrorType","warning"
"11201","ErrorMessage","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"11202","ErrorType","warning"
"11203","ErrorMessage","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"11204","ErrorType","warning"
"11205","ErrorMessage","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"11206","ErrorType","warning"
"11207","ErrorMessage","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"11208","ErrorType","warning"
"11209","ErrorMessage","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"11210","ErrorType","warning"
"11211","ErrorMessage","invalid 'x' type in 'x && y'"
"11212","ErrorType","error"
"11213","ErrorMessage","invalid 'x' type in 'x && y'"
"11214","ErrorType","error"
"11215","ErrorMessage","invalid 'x' type in 'x && y'"
"11216","ErrorType","error"
"11217","ErrorMessage","unused argument (alist(x = ))"
"11218","ErrorType","error"
"11219","ErrorMessage","argument ""frame"" is missing, with no default"
"11220","ErrorType","error"
"11222","ErrorMessage","'origin' must be supplied"
"11223","ErrorType","error"
"11224","ErrorMessage","character string is not in a standard unambiguous format"
"11225","ErrorType","error"
"11226","ErrorMessage","do not know how to convert 'x' to class “POSIXlt”"
"11227","ErrorType","error"
"11228","ErrorMessage","argument ""fun"" is missing, with no default"
"11229","ErrorType","error"
"11230","ErrorMessage","argument must be a function"
"11231","ErrorType","error"
"11232","ErrorMessage","argument must be a function"
"11233","ErrorType","error"
"11234","ErrorMessage","argument must be a function"
"11235","ErrorType","error"
"11236","ErrorMessage","is.null(condition) is not TRUE"
"11237","ErrorType","error"
"11238","ErrorMessage","is.null(condition) is not TRUE"
"11239","ErrorType","error"
"11240","ErrorMessage","is.null(condition) is not TRUE"
"11241","ErrorType","error"
"11242","ErrorMessage","is.null(condition) is not TRUE"
"11243","ErrorType","error"
"11244","ErrorMessage","is.null(condition) is not TRUE"
"11245","ErrorType","error"
"11246","ErrorMessage","is.null(condition) is not TRUE"
"11247","ErrorType","error"
"11248","ErrorMessage","unused argument (alist(fun = ))"
"11249","ErrorType","error"
"11251","ErrorMessage","Value for 'debuggingState' must be TRUE or FALSE"
"11252","ErrorType","error"
"11253","ErrorMessage","Value for 'debuggingState' must be TRUE or FALSE"
"11254","ErrorType","error"
"11255","ErrorMessage","argument ""fun"" is missing, with no default"
"11256","ErrorType","error"
"11257","ErrorMessage","argument must be a function"
"11258","ErrorType","error"
"11259","ErrorMessage","argument must be a function"
"11260","ErrorType","error"
"11261","ErrorMessage","argument must be a function"
"11262","ErrorType","error"
"11263","ErrorMessage","is.null(condition) is not TRUE"
"11264","ErrorType","error"
"11265","ErrorMessage","is.null(condition) is not TRUE"
"11266","ErrorType","error"
"11267","ErrorMessage","is.null(condition) is not TRUE"
"11268","ErrorType","error"
"11269","ErrorMessage","is.null(condition) is not TRUE"
"11270","ErrorType","error"
"11271","ErrorMessage","is.null(condition) is not TRUE"
"11272","ErrorType","error"
"11273","ErrorMessage","is.null(condition) is not TRUE"
"11274","ErrorType","error"
"11275","ErrorMessage","'default.stringsAsFactors' is deprecated.
Use '`stringsAsFactors = FALSE`' instead.
See help(""Deprecated"")"
"11276","ErrorType","warning"
"11277","ErrorMessage","non-numeric argument to binary operator"
"11278","ErrorType","error"
"11279","ErrorMessage","argument ""x"" is missing, with no default"
"11280","ErrorType","error"
"11286","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11287","ErrorType","error"
"11288","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11289","ErrorType","error"
"11290","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11291","ErrorType","error"
"11292","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11293","ErrorType","error"
"11294","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11295","ErrorType","error"
"11296","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11297","ErrorType","error"
"11298","ErrorMessage","argument ""x"" is missing, with no default"
"11299","ErrorType","error"
"11305","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11306","ErrorType","error"
"11307","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11308","ErrorType","error"
"11309","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11310","ErrorType","error"
"11311","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11312","ErrorType","error"
"11313","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11314","ErrorType","error"
"11315","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11316","ErrorType","error"
"11317","ErrorMessage","argument ""x"" is missing, with no default"
"11318","ErrorType","error"
"11319","ErrorMessage","object not specified"
"11320","ErrorType","error"
"11321","ErrorMessage","object not specified"
"11322","ErrorType","error"
"11323","ErrorMessage","non-numeric argument to binary operator"
"11324","ErrorType","error"
"11325","ErrorMessage","argument ""x"" is missing, with no default"
"11326","ErrorType","error"
"11332","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11333","ErrorType","error"
"11334","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11335","ErrorType","error"
"11336","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11337","ErrorType","error"
"11338","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11339","ErrorType","error"
"11340","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11341","ErrorType","error"
"11342","ErrorMessage","'lag' and 'differences' must be integers >= 1"
"11343","ErrorType","error"
"11344","ErrorMessage","argument ""time1"" is missing, with no default"
"11345","ErrorType","error"
"11346","ErrorMessage","'origin' must be supplied"
"11347","ErrorType","error"
"11348","ErrorMessage","'origin' must be supplied"
"11349","ErrorType","error"
"11350","ErrorMessage","'origin' must be supplied"
"11351","ErrorType","error"
"11352","ErrorMessage","'origin' must be supplied"
"11353","ErrorType","error"
"11354","ErrorMessage","'origin' must be supplied"
"11355","ErrorType","error"
"11356","ErrorMessage","'origin' must be supplied"
"11357","ErrorType","error"
"11358","ErrorMessage","'origin' must be supplied"
"11359","ErrorType","error"
"11360","ErrorMessage","'origin' must be supplied"
"11361","ErrorType","error"
"11362","ErrorMessage","invalid 'tz' value"
"11363","ErrorType","error"
"11364","ErrorMessage","argument 1 is empty"
"11365","ErrorType","error"
"11366","ErrorMessage","NaNs produced"
"11367","ErrorType","warning"
"11368","ErrorMessage","non-numeric argument to mathematical function"
"11369","ErrorType","error"
"11390","ErrorMessage","argument 1 is empty"
"11391","ErrorType","error"
"11394","ErrorMessage","argument ""x"" is missing, with no default"
"11395","ErrorType","error"
"11402","ErrorMessage","argument 1 is empty"
"11403","ErrorType","error"
"11404","ErrorMessage","1 argument passed to 'dim<-' which requires 2"
"11405","ErrorType","error"
"11406","ErrorMessage","1 argument passed to 'dim<-' which requires 2"
"11407","ErrorType","error"
"11408","ErrorMessage","1 argument passed to 'dim<-' which requires 2"
"11409","ErrorType","error"
"11410","ErrorMessage","argument 1 is empty"
"11411","ErrorType","error"
"11424","ErrorMessage","argument ""x"" is missing, with no default"
"11425","ErrorType","error"
"11438","ErrorMessage","argument 1 is empty"
"11439","ErrorType","error"
"11440","ErrorMessage","1 argument passed to 'dimnames<-' which requires 2"
"11441","ErrorType","error"
"11442","ErrorMessage","1 argument passed to 'dimnames<-' which requires 2"
"11443","ErrorType","error"
"11444","ErrorMessage","1 argument passed to 'dimnames<-' which requires 2"
"11445","ErrorType","error"
"11446","ErrorMessage","could not find function "".data.frame"""
"11447","ErrorType","error"
"11448","ErrorMessage","argument ""value"" is missing, with no default"
"11449","ErrorType","error"
"11450","ErrorMessage","argument ""value"" is missing, with no default"
"11451","ErrorType","error"
"11452","ErrorMessage","argument ""value"" is missing, with no default"
"11453","ErrorType","error"
"11491","ErrorMessage","invalid 'path' argument"
"11492","ErrorType","error"
"11493","ErrorMessage","invalid 'path' argument"
"11494","ErrorType","error"
"11495","ErrorMessage","invalid 'path' argument"
"11496","ErrorType","error"
"11497","ErrorMessage","invalid 'path' argument"
"11498","ErrorType","error"
"11499","ErrorMessage","invalid 'path' argument"
"11500","ErrorType","error"
"11501","ErrorMessage","invalid 'path' argument"
"11502","ErrorType","error"
"11503","ErrorMessage","invalid 'path' argument"
"11504","ErrorType","error"
"11505","ErrorMessage","invalid 'path' argument"
"11506","ErrorType","error"
"11507","ErrorMessage","invalid 'path' argument"
"11508","ErrorType","error"
"11509","ErrorMessage","invalid 'path' argument"
"11510","ErrorType","error"
"11511","ErrorMessage","invalid 'path' argument"
"11512","ErrorType","error"
"11513","ErrorMessage","invalid 'path' argument"
"11514","ErrorType","error"
"11515","ErrorMessage","invalid 'path' argument"
"11516","ErrorType","error"
"11517","ErrorMessage","invalid 'path' argument"
"11518","ErrorType","error"
"11519","ErrorMessage","invalid 'path' argument"
"11520","ErrorType","error"
"11521","ErrorMessage","invalid 'path' argument"
"11522","ErrorType","error"
"11523","ErrorMessage","invalid 'pattern' argument"
"11524","ErrorType","error"
"11525","ErrorMessage","argument ""path"" is missing, with no default"
"11526","ErrorType","error"
"11527","ErrorMessage","invalid 'path' argument"
"11528","ErrorType","error"
"11529","ErrorMessage","invalid 'path' argument"
"11530","ErrorType","error"
"11531","ErrorMessage","invalid 'path' argument"
"11532","ErrorType","error"
"11533","ErrorMessage","NAs introduced by coercion to integer range"
"11534","ErrorType","warning"
"11535","ErrorMessage","'x' cannot be coerced to class ""octmode"""
"11536","ErrorType","error"
"11537","ErrorMessage","'x' cannot be coerced to class ""octmode"""
"11538","ErrorType","error"
"11539","ErrorMessage","'x' cannot be coerced to class ""octmode"""
"11540","ErrorType","error"
"11541","ErrorMessage","'x' cannot be coerced to class ""octmode"""
"11542","ErrorType","error"
"11543","ErrorMessage","'x' cannot be coerced to class ""octmode"""
"11544","ErrorType","error"
"11545","ErrorMessage","argument ""paths"" is missing, with no default"
"11546","ErrorType","error"
"11547","ErrorMessage","invalid filename argument"
"11548","ErrorType","error"
"11550","ErrorMessage","invalid filename argument"
"11551","ErrorType","error"
"11552","ErrorMessage","argument ""path"" is missing, with no default"
"11553","ErrorType","error"
"11554","ErrorMessage","a character vector argument expected"
"11555","ErrorType","error"
"11557","ErrorMessage","a character vector argument expected"
"11558","ErrorType","error"
"11559","ErrorMessage","argument ""args"" is missing, with no default"
"11560","ErrorType","error"
"11561","ErrorMessage","argument ""args"" is missing, with no default"
"11562","ErrorType","error"
"11563","ErrorMessage","second argument must be a list"
"11564","ErrorType","error"
"11565","ErrorMessage","second argument must be a list"
"11566","ErrorType","error"
"11567","ErrorMessage","second argument must be a list"
"11568","ErrorType","error"
"11569","ErrorMessage","second argument must be a list"
"11570","ErrorType","error"
"11571","ErrorMessage","second argument must be a list"
"11572","ErrorType","error"
"11573","ErrorMessage","the condition has length > 1"
"11574","ErrorType","error"
"11575","ErrorMessage","the condition has length > 1"
"11576","ErrorType","error"
"11577","ErrorMessage","the condition has length > 1"
"11578","ErrorType","error"
"11579","ErrorMessage","unused argument (alist(pkg = ))"
"11580","ErrorType","error"
"11608","ErrorMessage","invalid 'length' argument"
"11609","ErrorType","error"
"11610","ErrorMessage","NAs introduced by coercion"
"11611","ErrorType","warning"
"11612","ErrorMessage","invalid 'length' argument"
"11613","ErrorType","error"
"11614","ErrorMessage","argument ""x"" is missing, with no default"
"11615","ErrorType","error"
"11622","ErrorMessage","'file' must be a character string or connection"
"11623","ErrorType","error"
"11624","ErrorMessage","deparse options ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’ are not recognized"
"11625","ErrorType","error"
"11626","ErrorMessage","deparse options ‘1:10’, ‘11:20’ are not recognized"
"11627","ErrorType","error"
"11628","ErrorMessage","deparse options ‘1:10’, ‘11:20’ are not recognized"
"11629","ErrorType","error"
"11630","ErrorMessage","deparse options ‘1:10’, ‘11:20’ are not recognized"
"11631","ErrorType","error"
"11632","ErrorMessage","deparse options ‘1:10’, ‘11:20’ are not recognized"
"11633","ErrorType","error"
"11634","ErrorMessage","argument ""x"" is missing, with no default"
"11635","ErrorType","error"
"11657","ErrorMessage","argument ""x"" is missing, with no default"
"11658","ErrorType","error"
"11686","ErrorMessage","no applicable method for 'droplevels' applied to an object of class ""name"""
"11687","ErrorType","error"
"11688","ErrorMessage","no applicable method for 'droplevels' applied to an object of class ""c('double', 'numeric')"""
"11689","ErrorType","error"
"11690","ErrorMessage","no applicable method for 'droplevels' applied to an object of class ""character"""
"11691","ErrorType","error"
"11712","ErrorMessage","argument ""x"" is missing, with no default"
"11713","ErrorType","error"
"11720","ErrorMessage","only 0's may be mixed with negative subscripts"
"11721","ErrorType","error"
"11722","ErrorMessage","only 0's may be mixed with negative subscripts"
"11723","ErrorType","error"
"11724","ErrorMessage","only 0's may be mixed with negative subscripts"
"11725","ErrorType","error"
"11726","ErrorMessage","invalid subscript type 'list'"
"11727","ErrorType","error"
"11735","ErrorMessage","argument ""x"" is missing, with no default"
"11736","ErrorType","error"
"11737","ErrorMessage","argument ""x"" is missing, with no default"
"11738","ErrorType","error"
"11757","ErrorMessage","cannot xtfrm data frames"
"11758","ErrorType","warning"
"11760","ErrorMessage","'...' used in an incorrect context"
"11761","ErrorType","error"
"11762","ErrorMessage","argument ""list"" is missing, with no default"
"11763","ErrorType","error"
"11764","ErrorMessage","invalid first argument"
"11765","ErrorType","error"
"11766","ErrorMessage","'file' must be a character string or connection"
"11767","ErrorType","error"
"11768","ErrorMessage","'file' must be a character string or connection"
"11769","ErrorType","error"
"11770","ErrorMessage","deparse options ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’ are not recognized"
"11771","ErrorType","error"
"11772","ErrorMessage","deparse options ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’ are not recognized"
"11773","ErrorType","error"
"11774","ErrorMessage","deparse options ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’ are not recognized"
"11775","ErrorType","error"
"11776","ErrorMessage","deparse options ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’ are not recognized"
"11777","ErrorType","error"
"11778","ErrorMessage","deparse options ‘1:10’, ‘11:20’ are not recognized"
"11779","ErrorType","error"
"11780","ErrorMessage","deparse options ‘1:10’, ‘11:20’ are not recognized"
"11781","ErrorType","error"
"11782","ErrorMessage","deparse options ‘1:10’, ‘11:20’ are not recognized"
"11783","ErrorType","error"
"11784","ErrorMessage","deparse option ‘df’ is not recognized"
"11785","ErrorType","error"
"11786","ErrorMessage","deparse option ‘df’ is not recognized"
"11787","ErrorType","error"
"11788","ErrorMessage","argument ""x"" is missing, with no default"
"11789","ErrorType","error"
"11790","ErrorMessage","argument ""x"" is missing, with no default"
"11791","ErrorType","error"
"11816","ErrorMessage","'fromLast' must be TRUE or FALSE"
"11817","ErrorType","error"
"11818","ErrorMessage","'list' object cannot be coerced to type 'double'"
"11819","ErrorType","error"
"11820","ErrorMessage","'fromLast' must be TRUE or FALSE"
"11821","ErrorType","error"
"11822","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11823","ErrorType","error"
"11824","ErrorMessage","'fromLast' must be TRUE or FALSE"
"11825","ErrorType","error"
"11827","ErrorMessage","argument ""x"" is missing, with no default"
"11828","ErrorType","error"
"11829","ErrorMessage","argument ""x"" is missing, with no default"
"11830","ErrorType","error"
"11831","ErrorMessage","MARGIN = 1 is invalid for dim = "
"11832","ErrorType","error"
"11833","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11834","ErrorType","error"
"11835","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11836","ErrorType","error"
"11837","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11838","ErrorType","error"
"11839","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11840","ErrorType","error"
"11841","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11842","ErrorType","error"
"11843","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11844","ErrorType","error"
"11845","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11846","ErrorType","error"
"11847","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11848","ErrorType","error"
"11849","ErrorMessage","argument ""x"" is missing, with no default"
"11850","ErrorType","error"
"11851","ErrorMessage","argument ""x"" is missing, with no default"
"11852","ErrorType","error"
"11856","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"11857","ErrorType","error"
"11858","ErrorMessage","'fromLast' must be TRUE or FALSE"
"11859","ErrorType","error"
"11860","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
